Station,Lon,Lat,data
57508,105.22,29.09,141.3
57598,114.35,29.02,141.3
58508,115.46,29.2,141.3
57749,110,27.34,141.2333333
58342,119.3,31.43,141.2333333
58463,121.29,30.56,141.1333333
57460,111.47,30.49,141
56389,103.57,29.12,140.9666667
56490,103.54,28.57,140.9333333
56885,103.27,24.24,140.9333333
58326,117.52,31.37,140.8666667
57525,107.45,29.19,140.8333333
58339,118.54,31.2,140.8
58268,121.05,32.06,140.7666667
57558,110.28,29.08,140.7
57840,109.12,26.54,140.6
57432,108.24,30.46,140.5333333
57661,111.29,28.55,140.4666667
57609,105.42,28.35,140.4
58345,119.29,31.26,140.4
56480,103.33,28.5,140.3666667
57377,112.12,31.03,140.3
58427,117.29,30.4,140.3
58442,119.11,31.08,140.3
57462,111.05,30.52,140.2333333
58415,116.35,30.38,140.2333333
56991,104.2,23.37,140.2
58933,118.59,26.55,140.1666667
58454,119.58,30.32,140.1333333
58343,119.59,31.53,140.1
56386,103.45,29.34,139.9666667
58224,117.01,32.39,139.9666667
58329,117.54,31.18,139.9666667
57417,106.17,30.21,139.9
57739,108.53,27.14,139.9
57351,111,30.5,139.8666667
58247,119.49,32.15,139.8666667
58531,118.17,29.43,139.8333333
56396,104.46,29.21,139.8
56289,103.52,30.12,139.7666667
57387,113.07,31.01,139.7333333
57604,105.23,28.47,139.6666667
58338,118.35,31.09,139.5666667
57348,109.32,31.01,139.5
58331,118.22,31.44,139.4666667
57465,111.27,30.23,139.4333333
58340,119.02,31.39,139.4
57736,108.51,27.42,139.3
56384,103.29,29.36,139.2333333
58450,120.05,30.51,139.2
56382,103.36,29.44,139.1333333
57506,105.54,29.22,139.0666667
58537,118.24,29.08,139.0666667
57666,112.08,28.31,139
57338,108.25,31.11,138.9666667
57818,106.27,26.02,138.8666667
58443,119.53,30.59,138.8333333
56276,103.48,30.26,138.8
56842,99.11,24.44,138.7666667
57492,114.48,30.5,138.7
57732,108.24,28.01,138.6
58264,121.11,32.2,138.5666667
58341,119.35,31.59,138.5666667
58335,118.3,31.34,138.5333333
57889,113.57,26.05,138.4333333
58269,121.39,31.47,138.4333333
57389,113.45,31.02,138.3
57486,113.51,30.39,138.2333333
56889,104.1,24.03,138.0666667
56846,99.56,24.35,137.9666667
57744,109.1,27.22,137.8666667
58360,121.12,31.55,137.7666667
58448,119.44,30.18,137.5666667
56378,102.21,29.14,137.3666667
56394,104.26,29.27,137.3
57476,112.09,30.21,137.2666667
57740,109.36,27.57,137.2666667
58244,119.34,32.27,137.2666667
58249,120,32.1,137.2666667
58311,116.3,31.45,137.2333333
57669,111.13,28.23,137.1
56870,102.1,24.4,137.0666667
57566,111.39,29.27,137.0666667
56297,104.09,30.01,137.0333333
56594,104.03,27.38,137.0333333
57512,106.17,29.58,137.0333333
57399,115.01,31.11,136.9333333
57735,108.49,27.11,136.9
58254,120.27,32.32,136.9
57729,107.53,27.14,136.8666667
56879,102.55,24.12,136.8333333
57839,109.09,26.14,136.7666667
57507,105.18,29.2,136.6333333
56390,104.04,29.4,136.5333333
58236,118.18,32.18,136.5
56383,103.5,29.5,136.4666667
56881,103.16,24.44,136.4333333
57520,107.04,29.5,136.4333333
57737,108.07,27.02,136.3
58428,117.29,30.13,136.3
58252,119.28,32.11,136.2333333
56873,102.54,24.4,136.1666667
57738,108.25,27.03,136.1
58238,118.48,32,136.1
56571,102.16,27.54,135.9333333
57910,106.05,25.46,135.9333333
56880,103.1,24.55,135.8333333
57637,108.07,28.15,135.8333333
56391,103.49,30.05,135.8
57837,108.04,26.24,135.7333333
57355,110.22,31.02,135.7
57431,108.21,30.5,135.7
57368,111.38,31.04,135.6333333
58744,119.25,27.27,135.6333333
58419,117.01,30.06,135.6
58416,116.49,30.45,135.5666667
58230,118.16,32.05,135.5333333
56569,102.11,27.25,135.5
57491,114.24,30.52,135.4666667
56298,104.39,30.07,135.4
57825,107.59,26.36,135.3333333
56898,102.24,24.11,135.2333333
58214,116.17,32.2,135.2333333
56393,104.51,29.46,134.9666667
58530,118.26,29.52,134.9666667
57415,106.38,30.28,134.9333333
57902,105.11,25.26,134.9
58446,119.41,30.38,134.8333333
57464,111.11,30.28,134.7666667
58520,117.43,29.51,134.7666667
58242,119.1,32.17,134.7333333
57809,105.46,26.03,134.7
57635,108.59,28.27,134.6333333
58301,115.23,31.48,134.6333333
57358,110.58,30.5,134.5666667
56766,101.31,25.2,134.5
58747,119.21,27.09,134.4666667
56380,103.22,29.55,134.4333333
56473,102.46,28.57,134.4333333
58237,118.37,32.03,134.2666667
58401,115.24,30.47,134.1
58344,119.1,31.57,134.0333333
57482,113.57,30.54,134
58306,115.53,31.41,134
57385,113.49,31.37,133.9666667
57437,108.02,30.18,133.9333333
57834,108.18,26.41,133.9333333
58245,119.25,32.25,133.9
57922,107.33,25.5,133.8666667
58221,117.23,32.57,133.8666667
57339,108.41,30.57,133.8
56381,103.31,30.01,133.7333333
58323,117.28,31.53,133.7333333
58402,115.4,30.44,133.7
57425,107.2,30.2,133.6666667
58534,118.11,29.47,133.6666667
57481,113.34,30.57,133.5666667
58207,115.02,32.09,133.5
58327,117.17,31.15,133.3
57265,111.4,32.23,133.2666667
58321,117.18,31.47,133.2666667
56387,103.16,29.14,133.2333333
58433,118.45,30.56,133.2
56878,102.45,24.07,133.1666667
